district,population_estimate,languages,ethnic_groups,origins,regions
Abidjan,5400000,"['French', 'Anyin', 'Baoulé', 'Dioula', 'Ebrie']","['Ebrié', 'Allochtones (Baoulé, Malinké, etc.)']",Ethnically diverse due to urban migration; Ebrié are indigenous.,"[{'name': 'Abidjan', 'notes': 'Economic capital with heavy internal migration and language mixing.'}]"
Yamoussoukro,355000,"['Baoulé', 'French']",['Baoulé'],Capital of Baoulé territory; strong Akan cultural heritage.,"[{'name': 'Yamoussoukro', 'notes': 'Autonomous district, historic center of Baoulé people.'}]"
Bas-Sassandra,1600000,"['Kroumen', 'Bété', 'Godié', 'French']","['Kroumen', 'Bété', 'Godié']",Krou-speaking peoples indigenous to the coastal southwest.,"[{'name': 'San-Pédro', 'notes': 'Port region with Kroumen majority.'}, {'name': 'Gbôklé', 'notes': 'Includes Godié and Avikam speakers.'}, {'name': 'Nawa', 'notes': 'Bété populations, especially in Soubré area.'}]"
Comoé,1480000,"['Agni', 'Abé', 'Koulango', 'Lobi']","['Agni', 'Koulango', 'Lobi']",Akan migration for Agni; native Gur speakers in northeast.,"[{'name': 'Indénié-Djuablin', 'notes': 'Agni-speaking majority, part of Akan group.'}, {'name': 'Sud-Comoé', 'notes': 'Agni Sanwi, cultural ties to Ashanti kingdom.'}]"
Denguélé,375000,"['Malinké', 'Senufo']","['Malinké', 'Senufo']",Mande and Senufo historical homelands; less migration.,"[{'name': 'Folon', 'notes': 'Malinké presence.'}, {'name': 'Kabadougou', 'notes': 'Senufo and Malinké communities.'}]"
Gôh-Djiboua,1800000,"['Bété', 'Baoulé', 'Dida']","['Bété', 'Baoulé', 'Dida']",Bété are Krou; Baoulé migrated from the east.,"[{'name': 'Gôh', 'notes': 'Bété majority.'}, {'name': 'Lôh-Djiboua', 'notes': 'Bété and Dida cohabitation; Baoulé settlements.'}]"
Lacs,1400000,"['Baoulé', 'Anyi', 'French']","['Baoulé', 'Anyi']",Akan homeland; Baoulé dominance.,"[{'name': 'Iffou', 'notes': 'Baoulé core area.'}, {'name': 'Moronou', 'notes': 'Baoulé/Anyi mix.'}, {'name': ""N'Zi"", 'notes': 'Akan continuity.'}]"
Lagunes,1800000,"['Ebrié', 'Adjoukrou', 'Alladian', 'French']","['Ebrié', 'Adjoukrou', 'Alladian']",Indigenous lagoon peoples (Kwa-speaking).,"[{'name': 'Agnéby-Tiassa', 'notes': 'Adjoukrou and Abé.'}, {'name': 'Grands-Ponts', 'notes': 'Alladian and Avikam speakers.'}, {'name': 'La Mé', 'notes': 'Ebrié center.'}]"
Montagnes,2900000,"['Dan', 'Yacouba', 'Guéré', 'French']","['Dan', 'Yacouba', 'Guéré']",Krou-speaking forest peoples; diverse languages and isolated groups.,"[{'name': 'Cavally', 'notes': 'Guéré speakers.'}, {'name': 'Guémon', 'notes': 'Yacouba and Dan.'}, {'name': 'Tonkpi', 'notes': 'Major Dan-speaking area (Man city).'}]"
Sassandra-Marahoué,1900000,"['Gouro', 'Bété', 'French']","['Gouro', 'Bété']",Krou and Mande overlap zone.,"[{'name': 'Haut-Sassandra', 'notes': 'Gouro and Bété.'}, {'name': 'Marahoué', 'notes': 'Bété settlements.'}]"
Savanes,2600000,"['Senufo', 'Malinké', 'Tagbana']","['Senufo', 'Malinké', 'Tagbana']",Historical core of Senufo and Mandé kingdoms.,"[{'name': 'Bagoué', 'notes': 'Senufo-speaking zone.'}, {'name': 'Poro', 'notes': 'Korhogo, cultural capital of Senufo.'}, {'name': 'Tchologo', 'notes': 'Tagbana and Malinké overlap.'}]"
Vallée du Bandama,2100000,"['Baoulé', 'Kouya', 'French']","['Baoulé', 'Kouya']",Akan presence with historical trade centers.,"[{'name': 'Gbêkê', 'notes': 'Bouaké city, Baoulé hub.'}, {'name': 'Hambol', 'notes': 'Mixed Baoulé and other Akan.'}]"
Woroba,1300000,"['Malinké', 'Senufo', 'French']","['Malinké', 'Senufo']",Mande and Senufo peoples; inland trade routes.,"[{'name': 'Bafing', 'notes': 'Mande-dominated.'}, {'name': 'Béré', 'notes': 'Senufo and Mande mix.'}, {'name': 'Worodougou', 'notes': 'Transition zone.'}]"
Zanzan,1700000,"['Koulango', 'Lobi', 'Loma', 'French']","['Koulango', 'Lobi', 'Loma']",Northeast Gur-speaking peoples; limited Akan presence.,"[{'name': 'Bounkani', 'notes': 'Koulango and Lobi core area.'}, {'name': 'Gontougo', 'notes': 'Cultural interface with Akan Agni.'}]"

